geohash,value
xneqpfc37,47.0
xneqpfce8,44.0
xneqpfcec,42.333333333333336
xneqpfcse,35.0
xneqpfcz1,36.0
xneqpg41b,36.0
xneqpg4hz,38.0
xneqpg62p,38.0
xneqpg6g8,38.0
xneqpg7p2,33.0
xneqpge71,34.0
xneqpgewf,39.0
xneqpggfe,41.0
xneqpgunk,38.0
xneqpjxqw,31.0
xneqpjxrg,31.0
xneqpjxwc,29.0
xneqpjxwg,42.0
xneqpjxwu,32.833333333333336
xneqpjxwy,44.0
xneqpjz61,31.0
xneqpjzhy,30.0
xneqpm8p4,46.0
xneqpm8xh,49.0
xneqpm9px,51.0
xneqpm9zf,55.0
xneqpmdrt,57.0
xneqpmep0,57.0
xneqpmewd,55.0
xneqpmqzv,39.0
xneqpmrqw,39.0
xneqpmrvq,38.0
xneqpmsju,53.0
xneqpmssv,50.0
xneqpmt5x,48.0
xneqpmtf3,45.0
xneqpmw35,42.0
xneqpnnzh,33.0
xneqpnp05,29.0
xneqpnp58,31.0
xneqpnqf9,34.0
xneqpnqwm,36.0
xneqpnwd1,41.0
xneqpnwmw,43.0
xneqpny34,44.0
xneqpny78,44.0
xneqpnyhr,46.0
xneqpnyhx,45.333333333333336
xneqpnyjv,44.0
xneqpnypg,40.0
xneqppmbp,25.0
xneqppmfy,24.0
xneqppmvy,23.0
xneqppn43,36.0
xneqppnj0,28.0
xneqpptbx,21.0
xneqppwh6,24.0
xneqppwpm,27.0
xneqppy69,27.0
xneqppymy,27.0
xneqpt2ey,35.0
xneqpt2g8,32.5
xneqpt2gd,30.0
xneqpt2km,36.0
xneqpt354,30.0
xneqpt39f,30.0
xneqpt4z8,35.0
xneqpt5q4,35.0
xneqpt5ut,34.0
xneqpt60v,31.0
xneqpthe3,33.0
xneqptj5n,34.0
xneqptjg4,33.0
xneqptn6v,35.0
xneqptp4c,34.0
xneqptp9z,33.0
xneqpubyf,31.0
xneqpucm7,32.0
xneqpucuw,27.0
xneqpufef,28.0
xneqpug71,28.0
xneqpugfq,29.0
xneqpuh6n,45.0
xneqpuhtz,48.0
xneqpum1c,45.0
xneqpummd,46.0
xneqput96,45.0
xneqputue,42.0
xneqpuu99,35.0
xneqpuv15,33.0
xneqpuv8d,33.0
xneqpuvbn,37.0
xneqpuwn8,39.0
xneqpuwpd,39.0
xneqpv029,33.0
xneqqfk3v,35.0
xneqqfk6w,34.0
xneqqfk92,33.0
xneqqfkcf,33.0
xneqqfkdf,31.0
xneqqfkdm,30.21212121212121
xneqqfkdt,31.0
xneqqfm4j,34.0
xneqqfm69,35.0
xneqqfmeq,37.0
xneqqfqhx,37.0
xneqqfqv1,37.0
xneqqfrm5,36.0
xneqqfrvj,34.0
xneqr0dyg,38.0
xneqr0een,38.0
xneqr0efk,40.0
xneqr0ejm,41.0
xneqr0ekp,42.0
xneqr0f3b,44.0
xneqr0f82,40.0
xneqr0fk1,42.0
xneqr0fqf,38.0
xneqr0kxy,44.0
xneqr0mne,40.0
xneqr0mt9,41.0
xneqr0muw,38.0
xneqr0n8e,25.0
xneqr0ner,29.0
xneqr0nvu,31.0
xneqr0nzp,36.0
xneqr0pp8,36.6
xneqr0q7e,40.0
xneqr0qf8,39.0
xneqr0r01,39.0
xneqr0r1f,38.0
xneqr0s1b,41.5
xneqr0s1d,46.0
xneqr0s2g,42.0
xneqr143u,42.0
xneqr14mn,40.0
xneqr1688,40.0
xneqr16s3,38.0
xneqr1d8k,38.0
xneqr1dse,34.0
xneqr1f2m,33.0
xneqr1fhn,34.0
xneqr41bp,30.0
xneqr41u0,29.0
xneqr41xv,28.0
xneqr42kz,33.0
xneqr43ew,32.0
xneqr43h3,30.0
xneqr43ky,32.0
xneqr43th,31.0
xnes5c6qk,297.0
xnes5ensg,289.0
xnes5qw21,290.0
xnes5sfdf,301.0
xnes6grvq,283.0
xnes6v48k,275.0
xnes6wt50,279.0
xnes71ucx,277.0
xnes721v0,285.0
xnes9rw1t,291.0
xnes9usj7,303.0
xnes9wjhp,292.0
xnesbexe6,287.0
xnesbfr36,285.0
xnesbkzsz,282.0
xnesbnpy4,280.0
xnesc0yy5,293.0
